rank,code,name,sector,current_price,target_price,expected_return_pct,investment_period,stop_loss_price,stop_loss_pct,pe_ratio,pb_ratio,total_score,investment_reasons,risk_factors,recommendation
1,2649,博彦科技,人工智能,14.9,22.35,50.0,6-12个月（高成长优质标的）,13.11,12.0,30.41,2.12,100.0,政策支持：受益于国家人工智能发展战略，AI产业迎来黄金发展期 | 估值优势：市盈率30.41倍，低于行业平均290.77倍 | 账面价值：市净率2.12倍，具有安全边际 | 综合评分：100.00分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：技术迭代快，竞争激烈，需关注技术路线变化,强烈推荐
2,600006,东风股份,汽车芯片,7.33,11.0,50.07,12-24个月（长期价值投资）,6.45,12.0,24.24,1.74,100.0,政策支持：新能源汽车和智能汽车发展推动汽车芯片需求增长 | 估值优势：市盈率24.24倍，低于行业平均135.11倍 | 账面价值：市净率1.74倍，具有安全边际 | 综合评分：100.00分，在板块中排名靠前，投资价值突出 | 技术面：换手率较低，适合长期价值投资,行业风险：下游汽车行业波动影响较大,强烈推荐
3,600509,天富能源,AI眼镜,6.51,9.77,50.08,6-12个月（高成长优质标的）,5.86,10.0,12.39,1.18,100.0,政策支持：AR/VR眼镜结合AI技术，开启新的交互时代 | 估值优势：市盈率12.39倍，低于行业平均156.29倍 | 账面价值：市净率1.18倍，具有安全边际 | 综合评分：100.00分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,,强烈推荐
4,300218,安利股份,AI手机,15.26,22.89,50.0,6-12个月（高成长优质标的）,13.73,10.0,17.83,2.33,100.0,政策支持：AI手机是未来智能终端发展方向，市场前景广阔 | 估值优势：市盈率17.83倍，低于行业平均143.28倍 | 账面价值：市净率2.33倍，具有安全边际 | 综合评分：100.00分，在板块中排名靠前，投资价值突出 | 技术面：换手率较低，适合长期价值投资,行业风险：消费电子周期性较强，需关注市场需求变化,强烈推荐
5,2340,格林美,云计算,6.51,9.77,50.08,12-24个月（长期价值投资）,5.86,10.0,16.31,1.67,100.0,政策支持：数字化转型推动云计算需求持续增长，行业景气度高 | 估值优势：市盈率16.31倍，低于行业平均180.19倍 | 账面价值：市净率1.67倍，具有安全边际 | 综合评分：100.00分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：竞争激烈，需关注客户集中度和价格战风险,强烈推荐
6,2649,博彦科技,云计算,14.87,22.3,49.97,12-24个月（长期价值投资）,13.09,12.0,30.35,2.12,99.12280701754383,政策支持：数字化转型推动云计算需求持续增长，行业景气度高 | 估值优势：市盈率30.35倍，低于行业平均180.19倍 | 账面价值：市净率2.12倍，具有安全边际 | 综合评分：99.12分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：竞争激烈，需关注客户集中度和价格战风险,强烈推荐
7,600208,衢州发展,区块链,3.65,5.47,49.86,12-24个月（长期价值投资）,3.29,10.0,18.31,0.75,99.12280701754383,政策支持：区块链技术在数字经济中的应用不断拓展 | 估值优势：市盈率18.31倍，低于行业平均213.46倍 | 账面价值：市净率0.75倍，具有安全边际 | 综合评分：99.12分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：政策监管存在不确定性,强烈推荐
8,300182,捷成股份,AI语料,5.6,8.4,50.0,6-12个月（高成长优质标的）,4.93,12.0,28.44,1.79,98.93617021276596,政策支持：AI大模型训练需要大量优质语料，行业需求快速增长 | 估值优势：市盈率28.44倍，低于行业平均653.64倍 | 账面价值：市净率1.79倍，具有安全边际 | 综合评分：98.94分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,,强烈推荐
9,2367,康力电梯,人工智能,7.56,11.34,50.0,6-12个月（高成长优质标的）,6.65,12.0,21.84,1.79,98.8888888888889,政策支持：受益于国家人工智能发展战略，AI产业迎来黄金发展期 | 估值优势：市盈率21.84倍，低于行业平均290.77倍 | 账面价值：市净率1.79倍，具有安全边际 | 综合评分：98.89分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：技术迭代快，竞争激烈，需关注技术路线变化,强烈推荐
10,2367,康力电梯,物联网,7.57,11.36,50.07,12-24个月（长期价值投资）,6.66,12.0,21.87,1.8,98.88888888888889,政策支持：万物互联时代到来，物联网基础设施建设加速 | 估值优势：市盈率21.87倍，低于行业平均285.72倍 | 账面价值：市净率1.80倍，具有安全边际 | 综合评分：98.89分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：标准化程度低，商业模式仍在探索,强烈推荐
11,34,神州数码,人工智能,38.77,58.16,50.01,6-12个月（高成长优质标的）,34.12,12.0,31.73,2.63,98.7703822507351,政策支持：受益于国家人工智能发展战略，AI产业迎来黄金发展期 | 估值优势：市盈率31.73倍，低于行业平均290.77倍 | 账面价值：市净率2.63倍，具有安全边际 | 综合评分：98.77分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：技术迭代快，竞争激烈，需关注技术路线变化,强烈推荐
12,301287,康力源,人工智能,40.61,60.91,49.99,6-12个月（高成长优质标的）,35.74,12.0,36.12,2.39,98.49811831766576,政策支持：受益于国家人工智能发展战略，AI产业迎来黄金发展期 | 估值优势：市盈率36.12倍，低于行业平均290.77倍 | 账面价值：市净率2.39倍，具有安全边际 | 综合评分：98.50分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：技术迭代快，竞争激烈，需关注技术路线变化,强烈推荐
13,2303,美盈森,区块链,3.69,5.54,50.14,12-24个月（长期价值投资）,3.32,10.0,17.58,1.29,98.24561403508773,政策支持：区块链技术在数字经济中的应用不断拓展 | 估值优势：市盈率17.58倍，低于行业平均213.46倍 | 账面价值：市净率1.29倍，具有安全边际 | 综合评分：98.25分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：政策监管存在不确定性,强烈推荐
14,2546,新联电子,云计算,5.95,8.93,50.08,12-24个月（长期价值投资）,5.36,10.0,11.56,1.49,98.24561403508773,政策支持：数字化转型推动云计算需求持续增长，行业景气度高 | 估值优势：市盈率11.56倍，低于行业平均180.19倍 | 账面价值：市净率1.49倍，具有安全边际 | 综合评分：98.25分，在板块中排名靠前，投资价值突出 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：竞争激烈，需关注客户集中度和价格战风险,强烈推荐
15,603556,海兴电力,物联网,27.34,41.01,50.0,12-24个月（长期价值投资）,23.24,15.0,23.58,1.92,97.7777777777778,政策支持：万物互联时代到来，物联网基础设施建设加速 | 估值优势：市盈率23.58倍，低于行业平均285.72倍 | 账面价值：市净率1.92倍，具有安全边际 | 综合评分：97.78分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：标准化程度低，商业模式仍在探索,强烈推荐
16,600728,佳都科技,人工智能,5.73,8.6,50.09,6-12个月（高成长优质标的）,4.87,15.0,25.37,1.58,97.7777777777778,政策支持：受益于国家人工智能发展战略，AI产业迎来黄金发展期 | 估值优势：市盈率25.37倍，低于行业平均290.77倍 | 账面价值：市净率1.58倍，具有安全边际 | 综合评分：97.78分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：技术迭代快，竞争激烈，需关注技术路线变化,强烈推荐
17,301195,北路智控,物联网,36.63,54.95,50.01,12-24个月（长期价值投资）,31.14,15.0,28.84,2.07,97.7777777777778,政策支持：万物互联时代到来，物联网基础设施建设加速 | 估值优势：市盈率28.84倍，低于行业平均285.72倍 | 账面价值：市净率2.07倍，具有安全边际 | 综合评分：97.78分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：标准化程度低，商业模式仍在探索,强烈推荐
18,300182,捷成股份,多模态AI,5.6,8.4,50.0,6-12个月（高成长优质标的）,4.76,15.0,28.44,1.79,97.72727272727272,政策支持：多模态AI是人工智能发展的重要方向，技术壁垒较高 | 估值优势：市盈率28.44倍，低于行业平均211.34倍 | 账面价值：市净率1.79倍，具有安全边际 | 综合评分：97.73分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,,强烈推荐
19,600745,闻泰科技,人工智能,37.01,55.52,50.01,6-12个月（高成长优质标的）,31.46,15.0,44.05,1.4,97.66566415250811,政策支持：受益于国家人工智能发展战略，AI产业迎来黄金发展期 | 估值优势：市盈率44.05倍，低于行业平均290.77倍 | 账面价值：市净率1.40倍，具有安全边际 | 综合评分：97.67分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：技术迭代快，竞争激烈，需关注技术路线变化,强烈推荐
20,2355,兴民智通,人工智能,6.37,9.55,49.92,6-12个月（高成长优质标的）,5.61,12.0,7.3,2.86,97.5407645014702,政策支持：受益于国家人工智能发展战略，AI产业迎来黄金发展期 | 估值优势：市盈率7.30倍，低于行业平均290.77倍 | 账面价值：市净率2.86倍，具有安全边际 | 综合评分：97.54分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：技术迭代快，竞争激烈，需关注技术路线变化,强烈推荐
21,2803,吉宏股份,多模态AI,15.51,23.27,50.03,6-12个月（高成长优质标的）,13.18,15.0,29.67,3.2,97.45203836930456,政策支持：多模态AI是人工智能发展的重要方向，技术壁垒较高 | 估值优势：市盈率29.67倍，低于行业平均211.34倍 | 账面价值：市净率3.20倍，具有安全边际 | 综合评分：97.45分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,,强烈推荐
22,2045,国光电器,AI眼镜,15.67,23.5,49.97,6-12个月（高成长优质标的）,12.54,20.0,67.92,1.97,97.07231948735551,政策支持：AR/VR眼镜结合AI技术，开启新的交互时代 | 估值优势：市盈率67.92倍，低于行业平均156.29倍 | 账面价值：市净率1.97倍，具有安全边际 | 综合评分：97.07分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,估值风险：市盈率偏高，需关注业绩增长匹配度,强烈推荐
23,600667,太极实业,存储芯片,6.65,9.98,50.08,12-24个月（长期价值投资）,5.65,15.0,29.69,1.66,96.96969696969695,政策支持：数据爆发式增长推动存储芯片需求，国产化替代加速 | 估值优势：市盈率29.69倍，低于行业平均206.72倍 | 账面价值：市净率1.66倍，具有安全边际 | 综合评分：96.97分，具有较好的投资价值 | 技术面：换手率较低，适合长期价值投资,行业风险：行业周期性明显，需关注供需变化,强烈推荐
24,34,神州数码,区块链,38.67,58.01,50.01,12-24个月（长期价值投资）,32.87,15.0,31.65,2.62,96.75058148180476,政策支持：区块链技术在数字经济中的应用不断拓展 | 估值优势：市盈率31.65倍，低于行业平均213.46倍 | 账面价值：市净率2.62倍，具有安全边际 | 综合评分：96.75分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：政策监管存在不确定性,强烈推荐
25,1230,劲旅环境,人工智能,21.8,32.7,50.0,6-12个月（高成长优质标的）,19.18,12.0,18.77,1.58,96.66666666666669,政策支持：受益于国家人工智能发展战略，AI产业迎来黄金发展期 | 估值优势：市盈率18.77倍，低于行业平均290.77倍 | 账面价值：市净率1.58倍，具有安全边际 | 综合评分：96.67分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：技术迭代快，竞争激烈，需关注技术路线变化,强烈推荐
26,301195,北路智控,人工智能,36.63,54.95,50.01,6-12个月（高成长优质标的）,31.14,15.0,28.84,2.07,96.66666666666669,政策支持：受益于国家人工智能发展战略，AI产业迎来黄金发展期 | 估值优势：市盈率28.84倍，低于行业平均290.77倍 | 账面价值：市净率2.07倍，具有安全边际 | 综合评分：96.67分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：技术迭代快，竞争激烈，需关注技术路线变化,强烈推荐
27,603012,创力集团,物联网,5.77,8.65,49.91,12-24个月（长期价值投资）,4.9,15.0,24.93,1.0,96.66666666666669,政策支持：万物互联时代到来，物联网基础设施建设加速 | 估值优势：市盈率24.93倍，低于行业平均285.72倍 | 账面价值：市净率1.00倍，具有安全边际 | 综合评分：96.67分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：标准化程度低，商业模式仍在探索,强烈推荐
28,603611,诺力股份,人工智能,23.63,35.45,50.02,6-12个月（高成长优质标的）,20.79,12.0,12.4,2.13,96.66666666666669,政策支持：受益于国家人工智能发展战略，AI产业迎来黄金发展期 | 估值优势：市盈率12.40倍，低于行业平均290.77倍 | 账面价值：市净率2.13倍，具有安全边际 | 综合评分：96.67分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：技术迭代快，竞争激烈，需关注技术路线变化,强烈推荐
29,34,神州数码,物联网,38.71,58.06,49.99,12-24个月（长期价值投资）,32.9,15.0,31.68,2.62,96.6566113624937,政策支持：万物互联时代到来，物联网基础设施建设加速 | 估值优势：市盈率31.68倍，低于行业平均285.72倍 | 账面价值：市净率2.62倍，具有安全边际 | 综合评分：96.66分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,行业风险：标准化程度低，商业模式仍在探索,强烈推荐
30,300790,宇瞳光学,AI眼镜,20.83,31.24,49.98,6-12个月（高成长优质标的）,17.71,15.0,39.88,3.21,96.57933042212518,政策支持：AR/VR眼镜结合AI技术，开启新的交互时代 | 估值优势：市盈率39.88倍，低于行业平均156.29倍 | 账面价值：市净率3.21倍，具有安全边际 | 综合评分：96.58分，具有较好的投资价值 | 技术面：换手率适中，资金关注度较高但不过热,,强烈推荐
