code,name,buffett,buffett_reasons,buffett_fails,graham,graham_reasons,graham_fails,lynch,lynch_reasons,lynch_fails,total,price,pe,pb,avg_roe_5y,gross_margin,net_margin,np_cagr_5y,np_cagr_10y,rev_cagr_5y,debt_ratio,current_ratio,profitable_years,all_positive_profit,eps,bvps,peg
000568,泸州老窖,16,"['5年平均ROE=31.7%>20%', '最低ROE=28.3%>15%', '毛利率=86.2%>40%', '净利率=40.6%>10%', '净利润5年CAGR=22.4%>10%', '历史盈利连续', '资产负债率=30.5%<50%', 'PE=12.0<25']",[],11,"['PE=12.0≤15', '流动比率=3.56≥2', '资产负债率=30.5%≤50%', '连续盈利10年', '净利润10年CAGR=27.9%≥3%']","['PB=3.43>1.5', 'PE×PB=41.3>22.5']",10,"['PEG=0.54<1.0(合理低估)', '净利润CAGR=22.4%(理想成长区间)', 'ROE=31.7%>20%', '负债率=30.5%<50%', '历史盈利连续']",[],12.65,110.5,12.04,3.43,31.650000000000006,86.236,40.578,22.38261972575122,27.8812404627794,16.990772160134625,30.48,3.56,10,True,9.18,32.194335,0.54
603369,今世缘,16,"['5年平均ROE=23.5%>20%', '最低ROE=20.2%>15%', '毛利率=75.1%>40%', '净利率=30.9%>10%', '净利润5年CAGR=21.5%>10%', '历史盈利连续', '资产负债率=36.2%<50%', 'PE=11.4<25']",[],11,"['PE=11.4≤15', 'PB=2.54≤3', '流动比率=1.66≥1.5', '资产负债率=36.2%≤50%', '连续盈利10年', '净利润10年CAGR=19.5%≥3%']",['PE×PB=29.0>22.5'],10,"['PEG=0.53<1.0(合理低估)', '净利润CAGR=21.5%(理想成长区间)', 'ROE=23.5%>20%', '负债率=36.2%<50%', '历史盈利连续']",[],12.65,31.25,11.42,2.54,23.456,75.08,30.927999999999997,21.47446821519896,19.530800471624698,22.531569036359002,36.2,1.66,10,True,2.7365,12.318574,0.53
000858,五粮液,16,"['5年平均ROE=24.8%>20%', '最低ROE=23.4%>15%', '毛利率=75.6%>40%', '净利率=37.3%>10%', '净利润5年CAGR=12.4%>10%', '历史盈利连续', '资产负债率=27.6%<50%', 'PE=12.7<25']",[],11,"['PE=12.7≤15', '流动比率=3.25≥2', '资产负债率=27.6%≤50%', '连续盈利10年', '净利润10年CAGR=20.0%≥3%']","['PB=3.03>1.5', 'PE×PB=38.4>22.5']",7,"['PEG=1.02<1.5', '净利润CAGR=12.4%>10%', 'ROE=24.8%>20%', '负债率=27.6%<50%', '历史盈利连续']",[],11.6,104.05,12.68,3.03,24.785999999999998,75.554,37.275999999999996,12.402158795320828,19.994223408870315,11.681783276241497,27.55,3.25,10,True,8.2062,34.337646,1.02
600519,贵州茅台,16,"['5年平均ROE=32.4%>20%', '最低ROE=29.9%>15%', '毛利率=91.7%>40%', '净利率=52.4%>10%', '净利润5年CAGR=16.6%>10%', '历史盈利连续', '资产负债率=19.0%<50%', 'PE=21.2<25']",[],8,"['流动比率=4.45≥2', '资产负债率=19.0%≤50%', '连续盈利10年', '净利润10年CAGR=21.0%≥3%']","['PE=21.2>15', 'PB=7.84>1.5', 'PE×PB=166.2>22.5']",8,"['PEG=1.28<1.5', '净利润CAGR=16.6%(理想成长区间)', 'ROE=32.4%>20%', '负债率=19.0%<50%', '历史盈利连续']",[],11.2,1455.02,21.2,7.84,32.356,91.742,52.41799999999999,16.57081507060296,21.005084269341335,15.459152556556276,19.04,4.45,10,True,68.64,185.564713,1.28
000661,长春高新,12,"['5年平均ROE=24.0%>20%', '毛利率=86.8%>40%', '净利率=32.2%>10%', '历史盈利连续', '资产负债率=15.9%<50%', 'PE=14.9<25']","['最低ROE=11.7%<15%', '净利润CAGR=-4.0%偏低']",12,"['PE=14.9≤15', 'PB=1.70≤3', '流动比率=4.76≥2', '资产负债率=15.9%≤50%', '连续盈利10年', '净利润10年CAGR=23.6%≥3%']",['PE×PB=25.4>22.5'],4,"['ROE=24.0%>20%', '负债率=15.9%<50%', '历史盈利连续']",['净利润CAGR=-4.0%偏低'],9.200000000000001,95.77,14.92,1.7,24.0,86.798,32.224000000000004,-4.046021152914248,23.588203755802994,11.937550729623304,15.94,4.76,10,True,6.42,56.373925,
300015,爱尔眼科,13,"['5年平均ROE=19.6%>15%', '最低ROE=17.9%>15%', '毛利率=50.5%>40%', '净利率=16.9%>10%', '净利润5年CAGR=19.8%>10%', '历史盈利连续', '资产负债率=34.4%<50%', 'PE=27.6<35']",[],6,"['资产负债率=34.4%≤50%', '连续盈利10年', '净利润10年CAGR=26.5%≥3%']","['PE=27.6>15', 'PB=4.77>1.5', 'PE×PB=131.4>22.5', '流动比率=1.45<2']",7,"['PEG=1.39<1.5', '净利润CAGR=19.8%(理想成长区间)', 'ROE=19.6%>15%', '负债率=34.4%<50%', '历史盈利连续']",[],9.15,10.6,27.55,4.77,19.598,50.464000000000006,16.936,19.841192722130387,26.522762228959795,15.20483969962445,34.41,1.45,10,True,0.3847,2.220923,1.39
002415,海康威视,14,"['5年平均ROE=22.3%>20%', '最低ROE=15.3%>15%', '毛利率=44.3%>40%', '净利率=18.1%>10%', '历史盈利连续', '资产负债率=33.7%<50%', 'PE=24.2<25']",['净利润CAGR=-2.7%偏低'],8,"['流动比率=2.72≥2', '资产负债率=33.7%≤50%', '连续盈利10年', '净利润10年CAGR=8.2%≥3%']","['PE=24.2>15', 'PB=3.60>1.5', 'PE×PB=87.3>22.5']",4,"['ROE=22.3%>20%', '负债率=33.7%<50%', '历史盈利连续']",['净利润CAGR=-2.7%偏低'],9.0,31.44,24.24,3.6,22.262,44.284,18.104000000000003,-2.742230065100648,8.248138769573643,9.858123710420251,33.72,2.72,10,True,1.297,8.736805,
601088,中国神华,10,"['毛利率=36.5%>25%', '净利率=20.5%>10%', '净利润5年CAGR=10.6%>10%', '历史盈利连续', '资产负债率=23.4%<50%', 'PE=14.3<25']","['ROE=14.3%偏低', '最低ROE=11.0%<15%']",12,"['PE=14.3≤15', 'PB=1.97≤3', '流动比率=2.21≥2', '资产负债率=23.4%≤50%', '连续盈利10年', '净利润10年CAGR=15.4%≥3%']",['PE×PB=28.2>22.5'],5,"['PEG=1.35<1.5', '净利润CAGR=10.6%>10%', '负债率=23.4%<50%', '历史盈利连续']",[],8.75,42.26,14.31,1.97,14.325999999999999,36.482,20.462000000000003,10.628616120449896,15.416536605740427,9.745849105782444,23.42,2.21,10,True,2.953,21.48402,1.35
300750,宁德时代,10,"['5年平均ROE=21.1%>20%', '净利率=12.5%>10%', '净利润5年CAGR=73.6%>10%', '历史盈利连续', 'PE=29.5<35']","['最低ROE=11.3%<15%', '毛利率=24.3%偏低', '资产负债率=65.2%偏高']",5,"['流动比率=1.61≥1.5', '连续盈利10年', '净利润10年CAGR=55.9%≥3%']","['PE=29.5>15', 'PB=6.10>1.5', 'PE×PB=180.1>22.5', '资产负债率=65.2%>50%']",9,"['PEG=0.40<0.5(严重低估)', '净利润CAGR=73.6%>10%', 'ROE=21.1%>20%', '历史盈利连续']",[],8.4,342.01,29.53,6.1,21.125999999999998,24.328,12.517999999999999,73.63265547849136,55.93305052528956,63.77516331991191,65.24,1.61,10,True,11.58,56.076289,0.4
002594,比亚迪,7,"['5年平均ROE=15.6%>15%', '净利润5年CAGR=75.6%>10%', '历史盈利连续', 'PE=6.5<25']","['最低ROE=3.7%<15%', '毛利率=17.8%偏低', '净利率=4.1%偏低', '资产负债率=74.6%偏高']",10,"['PE=6.5≤15', 'PB=1.53≤3', 'PE×PB=9.9≤22.5', '连续盈利10年', '净利润10年CAGR=34.3%≥3%']","['流动比率=0.75<2', '资产负债率=74.6%>50%']",8,"['PEG=0.09<0.5(严重低估)', '净利润CAGR=75.6%>10%', 'ROE=15.6%>15%', '历史盈利连续']",[],8.1,89.32,6.45,1.53,15.55,17.818,4.082,75.5959710905503,34.348595107556015,49.25296035317266,74.64,0.75,10,True,13.84,58.556578,0.09
002304,洋河股份,10,"['5年平均ROE=18.4%>15%', '毛利率=74.1%>40%', '净利率=29.9%>10%', '历史盈利连续', '资产负债率=23.2%<50%', 'PE=12.0<25']","['最低ROE=12.1%<15%', '净利润CAGR=-2.8%偏低']",12,"['PE=12.0≤15', 'PB=1.55≤3', 'PE×PB=18.6≤22.5', '流动比率=3.30≥2', '资产负债率=23.2%≤50%', '连续盈利10年']",[],3,"['ROE=18.4%>15%', '负债率=23.2%<50%', '历史盈利连续']",['净利润CAGR=-2.8%偏低'],8.05,53.2,12.01,1.55,18.438,74.11999999999999,29.927999999999997,-2.8202325991562915,2.4537674923472697,8.157962888499126,23.24,3.3,10,True,4.4299,34.24502,
002557,洽洽食品,9,"['5年平均ROE=18.0%>15%', '毛利率=30.3%>25%', '净利率=13.7%>10%', '历史盈利连续', '资产负债率=43.0%<50%', 'PE=13.8<25']","['最低ROE=14.8%<15%', '净利润CAGR=1.3%偏低']",12,"['PE=13.8≤15', 'PB=2.08≤3', '流动比率=2.56≥2', '资产负债率=43.0%≤50%', '连续盈利10年', '净利润10年CAGR=9.9%≥3%']",['PE×PB=28.7>22.5'],3,"['ROE=18.0%>15%', '负债率=43.0%<50%', '历史盈利连续']","['PEG=10.29>1.5', '净利润CAGR=1.3%偏低']",7.65,23.1,13.78,2.08,17.954,30.268000000000008,13.736,1.3393122243253952,9.86702566589548,7.756683750667337,43.04,2.56,10,True,1.676,11.086544,10.29
000333,美的集团,10,"['5年平均ROE=23.0%>20%', '最低ROE=21.3%>15%', '净利润5年CAGR=9.1%>5%', '历史盈利连续', 'PE=14.5<25']","['毛利率=24.9%偏低', '净利率=9.1%偏低', '资产负债率=62.3%偏高']",8,"['PE=14.5≤15', 'PB=2.78≤3', '连续盈利10年', '净利润10年CAGR=13.1%≥3%']","['PE×PB=40.2>22.5', '流动比率=1.11<2', '资产负债率=62.3%>50%']",4,"['净利润CAGR=9.1%>5%', 'ROE=23.0%>20%', '历史盈利连续']",['PEG=1.59>1.5'],7.4,78.64,14.46,2.78,22.954,24.948,9.088,9.077576448389046,13.1194300097224,9.388524201566174,62.33,1.11,10,True,5.44,28.311298,1.59
002475,立讯精密,10,"['5年平均ROE=23.7%>20%', '最低ROE=21.3%>15%', '净利润5年CAGR=16.6%>10%', '历史盈利连续', 'PE=27.0<35']","['毛利率=12.9%偏低', '净利率=5.8%偏低', '资产负债率=62.2%偏高']",4,"['连续盈利10年', '净利润10年CAGR=32.3%≥3%']","['PE=27.0>15', 'PB=5.28>1.5', 'PE×PB=142.6>22.5', '流动比率=1.22<2', '资产负债率=62.2%>50%']",6,"['净利润CAGR=16.6%(理想成长区间)', 'ROE=23.7%>20%', '历史盈利连续']",['PEG=1.62>1.5'],7.1,50.22,27.0,5.28,23.718,12.91,5.756,16.62479714185594,32.264173845921704,30.562569808522944,62.16,1.22,10,True,1.86,9.507372,1.62
601899,紫金矿业,8,"['5年平均ROE=21.8%>20%', '净利润5年CAGR=49.0%>10%', '历史盈利连续', 'PE=32.7<35']","['最低ROE=12.2%<15%', '毛利率=15.9%偏低', '净利率=9.0%偏低', '资产负债率=55.2%偏高']",4,"['连续盈利10年', '净利润10年CAGR=39.0%≥3%']","['PE=32.7>15', 'PB=7.61>1.5', 'PE×PB=248.8>22.5', '流动比率=0.99<2', '资产负债率=55.2%>50%']",8,"['PEG=0.67<1.0(合理低估)', '净利润CAGR=49.0%>10%', 'ROE=21.8%>20%', '历史盈利连续']",[],7.0,39.55,32.69,7.61,21.753999999999998,15.854,8.964,48.964172404761456,38.987484445653784,15.351456220152194,55.19,0.99,10,True,1.21,5.199052,0.67
601888,中国中免,9,"['5年平均ROE=20.3%>20%', '毛利率=33.3%>25%', '净利率=12.6%>10%', '历史盈利连续', '资产负债率=20.1%<50%']","['最低ROE=7.9%<15%', '净利润CAGR=-8.7%偏低', 'PE=39.1偏高']",8,"['流动比率=5.10≥2', '资产负债率=20.1%≤50%', '连续盈利10年', '净利润10年CAGR=12.3%≥3%']","['PE=39.1>15', 'PB=3.03>1.5', 'PE×PB=118.4>22.5']",4,"['ROE=20.3%>20%', '负债率=20.1%<50%', '历史盈利连续']",['净利润CAGR=-8.7%偏低'],7.0,80.58,39.07,3.03,20.330000000000002,33.312,12.591999999999999,-8.696259919429405,12.267821839483783,1.7934490379002188,20.08,5.1,10,True,2.0625,26.631444,
600309,万华化学,10,"['5年平均ROE=24.4%>20%', '净利率=12.0%>10%', '净利润5年CAGR=6.7%>5%', '历史盈利连续', 'PE=22.4<25']","['最低ROE=14.3%<15%', '毛利率=20.5%偏低', '资产负债率=64.7%偏高']",4,"['连续盈利10年', '净利润10年CAGR=26.2%≥3%']","['PE=22.4>15', 'PB=3.09>1.5', 'PE×PB=69.2>22.5', '流动比率=0.56<2', '资产负债率=64.7%>50%']",4,"['净利润CAGR=6.7%>5%', 'ROE=24.4%>20%', '历史盈利连续']",['PEG=3.33>1.5'],6.4,93.0,22.41,3.09,24.438000000000002,20.512,12.046,6.73745833685957,26.15752747819766,25.48337297612171,64.72,0.56,10,True,4.15,30.138067,3.33
300059,东方财富,9,"['5年平均ROE=15.8%>15%', '毛利率=85.8%>40%', '净利率=201.7%>10%', '净利润5年CAGR=19.1%>10%', '历史盈利连续']","['最低ROE=11.9%<15%', '资产负债率=73.7%偏高', 'PE=37.0偏高']",4,"['连续盈利10年', '净利润10年CAGR=20.1%≥3%']","['PE=37.0>15', 'PB=4.40>1.5', 'PE×PB=162.8>22.5', '流动比率=1.34<2', '资产负债率=73.7%>50%']",5,"['净利润CAGR=19.1%(理想成长区间)', 'ROE=15.8%>15%', '历史盈利连续']",['PEG=1.94>1.5'],6.35,22.52,37.0,4.4,15.795999999999998,85.794,201.74,19.088358918694894,20.09690923553331,8.938979919374868,73.65,1.34,10,True,0.6087,5.113988,1.94
600887,伊利股份,10,"['5年平均ROE=21.2%>20%', '最低ROE=15.8%>15%', '毛利率=33.1%>25%', '历史盈利连续', 'PE=19.6<25']","['净利率=7.7%偏低', '净利润CAGR=4.5%偏低', '资产负债率=62.9%偏高']",5,"['PE=19.6≤20', '连续盈利10年', '净利润10年CAGR=6.9%≥3%']","['PB=3.12>1.5', 'PE×PB=61.2>22.5', '流动比率=0.74<2', '资产负债率=62.9%>50%']",3,"['ROE=21.2%>20%', '历史盈利连续']","['PEG=4.32>1.5', '净利润CAGR=4.5%偏低']",6.3,26.08,19.61,3.12,21.201999999999998,33.062,7.676,4.538214389379136,6.912115773877248,4.554596367082331,62.91,0.74,10,True,1.33,8.353874,4.32
600298,安琪酵母,8,"['5年平均ROE=17.6%>15%', '毛利率=26.8%>25%', '净利率=11.5%>10%', '历史盈利连续', '资产负债率=47.8%<50%', 'PE=28.4<35']","['最低ROE=12.8%<15%', '净利润CAGR=-0.9%偏低']",6,"['资产负债率=47.8%≤50%', '连续盈利10年', '净利润10年CAGR=18.9%≥3%']","['PE=28.4>15', 'PB=3.53>1.5', 'PE×PB=100.2>22.5', '流动比率=1.22<2']",3,"['ROE=17.6%>15%', '负债率=47.8%<50%', '历史盈利连续']",['净利润CAGR=-0.9%偏低'],5.75,43.99,28.38,3.53,17.604,26.770000000000003,11.472000000000001,-0.8676408289118531,18.851981706737654,14.206318583759202,47.82,1.22,10,True,1.55,12.466098,
600900,长江电力,9,"['毛利率=59.9%>40%', '净利率=42.0%>10%', '净利润5年CAGR=5.4%>5%', '历史盈利连续', 'PE=19.6<25']","['ROE=14.5%偏低', '最低ROE=11.7%<15%', '资产负债率=60.8%偏高']",5,"['PE=19.6≤20', '连续盈利10年', '净利润10年CAGR=6.6%≥3%']","['PB=3.03>1.5', 'PE×PB=59.4>22.5', '流动比率=0.11<2', '资产负债率=60.8%>50%']",2,"['净利润CAGR=5.4%>5%', '历史盈利连续']",['PEG=3.61>1.5'],5.55,26.04,19.61,3.03,14.518,59.94199999999999,41.962,5.433056348513876,6.630257952492391,9.964847454802928,60.79,0.11,10,True,1.3281,8.594349,3.61
600276,恒瑞医药,7,"['毛利率=85.6%>40%', '净利率=19.9%>10%', '历史盈利连续', '资产负债率=8.1%<50%']","['ROE=14.6%偏低', '最低ROE=10.9%<15%', '净利润CAGR=0.0%偏低', 'PE=56.6偏高']",8,"['流动比率=9.72≥2', '资产负债率=8.1%≤50%', '连续盈利10年', '净利润10年CAGR=12.6%≥3%']","['PE=56.6>15', 'PB=7.93>1.5', 'PE×PB=448.5>22.5']",2,"['负债率=8.1%<50%', '历史盈利连续']","['PEG=1591.57>1.5', '净利润CAGR=0.0%偏低']",5.5,56.56,56.56,7.93,14.616,85.58000000000001,19.875999999999998,0.035537309907063275,12.633951525498954,0.2245892956846296,8.07,9.72,10,True,1.0,7.13589,1591.57
002714,牧原股份,7,"['5年平均ROE=25.4%>20%', '净利率=17.1%>10%', 'PE=14.2<25']","['最低ROE=-6.4%<15%', '毛利率=23.4%偏低', '净利润CAGR=-10.2%偏低', '资产负债率=58.7%偏高']",6,"['PE=14.2≤15', '盈利9年', '净利润10年CAGR=45.9%≥3%']","['PB=3.61>1.5', 'PE×PB=51.3>22.5', '流动比率=0.72<2', '资产负债率=58.7%>50%']",2,['ROE=25.4%>20%'],['净利润CAGR=-10.2%偏低'],5.0,46.9,14.21,3.61,25.414,23.415999999999997,17.113999999999997,-10.162344756113262,45.92418707993397,25.125357260741033,58.68,0.72,9,False,3.3,12.99975,
600597,光明乳业,4,"['历史盈利连续', 'PE=15.3<25']","['ROE=8.7%偏低', '最低ROE=4.6%<15%', '毛利率=20.3%偏低', '净利率=2.3%偏低', '净利润CAGR=4.4%偏低', '资产负债率=51.6%偏高']",10,"['PE=15.3≤20', 'PB=1.16≤1.5', 'PE×PB=17.7≤22.5', '连续盈利10年', '净利润10年CAGR=6.3%≥3%']","['流动比率=0.87<2', '资产负债率=51.6%>50%']",1,['历史盈利连续'],"['PEG=3.48>1.5', '净利润CAGR=4.4%偏低']",4.45,7.95,15.29,1.16,8.68,20.34,2.312,4.389881496492198,6.26088657876307,-0.9922698900509452,51.64,0.87,10,True,0.52,6.873467,3.48
002352,顺丰控股,5,"['净利润5年CAGR=8.5%>5%', '历史盈利连续', 'PE=17.9<25']","['ROE=9.9%偏低', '最低ROE=6.8%<15%', '毛利率=13.6%偏低', '净利率=3.1%偏低', '资产负债率=52.1%偏高']",6,"['PE=17.9≤20', 'PB=2.05≤3', '连续盈利10年', '净利润10年CAGR=28.0%≥3%']","['PE×PB=36.8>22.5', '流动比率=1.23<2', '资产负债率=52.1%>50%']",2,"['净利润CAGR=8.5%>5%', '历史盈利连续']",['PEG=2.10>1.5'],4.2,37.87,17.95,2.05,9.940000000000001,13.592000000000002,3.132,8.545921428666992,28.02108832807979,16.57864911263247,52.14,1.23,10,True,2.11,18.449626,2.1
600031,三一重工,4,"['毛利率=26.8%>25%', '历史盈利连续', 'PE=32.8<35']","['ROE=14.3%偏低', '最低ROE=6.7%<15%', '净利率=9.4%偏低', '净利润CAGR=-21.1%偏低', '资产负债率=52.0%偏高']",6,"['PB=2.73≤3', '流动比率=1.59≥1.5', '连续盈利10年', '净利润10年CAGR=119.9%≥3%']","['PE=32.8>15', 'PE×PB=89.5>22.5', '资产负债率=52.0%>50%']",1,['历史盈利连续'],['净利润CAGR=-21.1%偏低'],3.45,23.15,32.79,2.73,14.325999999999999,26.766,9.442,-21.121649705921463,119.94172727938803,-5.92033305044839,52.02,1.59,10,True,0.7061,8.49008,
002230,科大讯飞,4,"['毛利率=42.5%>40%', '历史盈利连续']","['ROE=6.5%偏低', '最低ROE=3.2%<15%', '净利率=5.6%偏低', '净利润CAGR=-20.0%偏低', '资产负债率=54.9%偏高', 'PE=232.6偏高']",5,"['流动比率=1.57≥1.5', '连续盈利10年', '净利润10年CAGR=3.1%≥3%']","['PE=232.6>15', 'PB=7.25>1.5', 'PE×PB=1686.2>22.5', '资产负债率=54.9%>50%']",1,['历史盈利连续'],['净利润CAGR=-20.0%偏低'],3.2,55.82,232.58,7.25,6.486,42.474000000000004,5.562,-19.953303365050335,3.1124273860944074,15.703030593431123,54.88,1.57,10,True,0.24,7.697258,
601012,隆基绿能,1,['5年平均ROE=15.7%>15%'],"['最低ROE=-13.1%<15%', '毛利率=17.2%偏低', '净利率=7.3%偏低', '资产负债率=59.8%偏高']",2,"['PB=2.30≤3', '盈利9年']","['流动比率=1.49<2', '资产负债率=59.8%>50%']",1,['ROE=15.7%>15%'],[],1.25,18.32,-16.07,2.3,15.746,17.178000000000004,7.266,,,10.906499669957558,59.83,1.49,9,False,-1.14,7.96347,
